"table","variable","label","class","n_missing","pct_missing","n_unique"
"DEMO_L","DMDHREDZ","HH ref persons education level","numeric",8187,68.6,4
"DEMO_L","DMDHRMAZ","HH ref persons marital status","numeric",7913,66.3,4
"DEMO_L","DMDHSEDZ","HH ref persons spouses education level","numeric",9806,82.2,4
"DEMO_L","WTINT2YR","Full sample 2-year interview weight","numeric",0,0,9821
"DEMO_L","WTMEC2YR","Full sample 2-year MEC exam weight","numeric",0,0,8138
"DEMO_L","SDMVSTRA","Masked variance pseudo-stratum","numeric",0,0,15
"DEMO_L","SDMVPSU","Masked variance pseudo-PSU","numeric",0,0,2
"DEMO_L","INDFMPIR","Ratio of family income to poverty","numeric",2041,17.1,472
"DR1TOT_L","SEQN","Respondent sequence number","numeric",0,0,8860
"DR1TOT_L","WTDRD1","Dietary day one sample weight","numeric",0,0,6440
"DR1TOT_L","WTDR2D","Dietary two-day sample weight","numeric",2106,23.8,5708
"DR1TOT_L","DR1DRSTZ","Dietary recall status","numeric",0,0,4
"DR1TOT_L","DR1EXMER","Interviewer ID code","numeric",2063,23.3,14
"DR1TOT_L","DRABF","Breast-fed infant (either day)","numeric",2126,24,3
"DR1TOT_L","DRDINT","Number of days of intake","numeric",2106,23.8,3
"DR1TOT_L","DR1DBIH","# of days b/w intake and HH interview","numeric",2485,28,134
"DR1TOT_L","DR1DAY","Intake day of the week","numeric",2063,23.3,8
"DR1TOT_L","DR1LANG","Language respondent used mostly","numeric",2058,23.2,5
"DR1TOT_L","DR1MRESP","Main respondent for this interview","numeric",2113,23.8,9
"DR1TOT_L","DR1HELP","Helped in responding for this interview","numeric",2113,23.8,12
"DR1TOT_L","DBQ095Z","Type of table salt used","numeric",2063,23.3,6
"DR1TOT_L","DBD100","How often add salt to food at table","numeric",4118,46.5,5
"DR1TOT_L","DRQSPREP","Salt used in preparation?","numeric",2063,23.3,6
"DR1TOT_L","DR1STY","Salt used at table yesterday?","numeric",2063,23.3,4
"DR1TOT_L","DR1SKY","Type of salt used yesterday","numeric",7663,86.5,5
"DR1TOT_L","DRQSDIET","On special diet?","numeric",2063,23.3,4
